trial_type,trial_index,trial_number,time_elapsed,random_id,condition,participant_id,age,gender_id,mus_exp,inst_exp,years_exp,mus_listening,rt,stimulus,response,correct_response,practice,correct,congruent,sound_type,audio,file_name,participant_is_group_member
image-keyboard-response,805,133,608657,pz801oke606,mus,mouse,21,female,yes,yes,5,3,625,stimuli/pictures/drum_kit_2.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/drum_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,811,134,612767,pz801oke606,mus,mouse,21,female,yes,yes,5,3,787,stimuli/pictures/drum_kit_2.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/piano_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,817,135,617302,pz801oke606,mus,mouse,21,female,yes,yes,5,3,1178,stimuli/pictures/piano_grand_2.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/drum_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,823,136,621739,pz801oke606,mus,mouse,21,female,yes,yes,5,3,1162,stimuli/pictures/piano_electric_2.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/piano_sound_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,829,137,625848,pz801oke606,mus,mouse,21,female,yes,yes,5,3,796,stimuli/pictures/drum_kit_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/flute_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,835,138,630788,pz801oke606,mus,mouse,21,female,yes,yes,5,3,1365,stimuli/pictures/piano_grand_1.jpg,1,1,NA,TRUE,no,sound,stimuli/sounds/piano_sound_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,841,139,634715,pz801oke606,mus,mouse,21,female,yes,yes,5,3,566,stimuli/pictures/bird_song_2.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/bird_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,847,140,638798,pz801oke606,mus,mouse,21,female,yes,yes,5,3,702,stimuli/pictures/flute_wooden_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/phone_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,853,141,642846,pz801oke606,mus,mouse,21,female,yes,yes,5,3,639,stimuli/pictures/bird_song_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/piano_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,859,142,646901,pz801oke606,mus,mouse,21,female,yes,yes,5,3,713,stimuli/pictures/phone_rotary_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/piano_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,865,143,651059,pz801oke606,mus,mouse,21,female,yes,yes,5,3,727,stimuli/pictures/phone_rotary_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/drum_sound_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,871,144,655489,pz801oke606,mus,mouse,21,female,yes,yes,5,3,1093,stimuli/pictures/phone_cell_2.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/phone_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,878,145,661543,pz801oke606,mus,mouse,21,female,yes,yes,5,3,1051,stimuli/pictures/drum_kit_2.jpg,1,1,NA,TRUE,no,sound,stimuli/sounds/drum_sound_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,884,146,666046,pz801oke606,mus,mouse,21,female,yes,yes,5,3,893,stimuli/pictures/flute_wooden_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/drum_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
image-keyboard-response,890,147,670061,pz801oke606,mus,mouse,21,female,yes,yes,5,3,619,stimuli/pictures/piano_electric_2.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/drum_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pz801oke606_1772157009690.csv,FALSE
